Date,Last Price
3/11/2020,2541
3/10/2020,2541
3/9/2020,3041
3/6/2020,3364
3/5/2020,3441
3/4/2020,3438
3/3/2020,3377
3/2/2020,3231
2/28/2020,3372
2/27/2020,3495
2/26/2020,3586
2/25/2020,3695
2/24/2020,3821
2/21/2020,3857
2/20/2020,3805
2/19/2020,3716
2/18/2020,3716
2/17/2020,3716
2/14/2020,3675
2/13/2020,3646
2/12/2020,3557
2/11/2020,3535
2/10/2020,3585
2/7/2020,3630
2/6/2020,3617
2/5/2020,3529
2/4/2020,3587
2/3/2020,3687
2/1/2020,3687
1/31/2020,3727
1/30/2020,3796
1/29/2020,3815
1/28/2020,3794
1/27/2020,3861
1/24/2020,3960
1/23/2020,4040
1/22/2020,4156
1/21/2020,4159
1/20/2020,4159
1/17/2020,4149
1/16/2020,4097
1/15/2020,4130
1/14/2020,4113
1/13/2020,4199
1/10/2020,4254
1/9/2020,4293
1/8/2020,4500
1/7/2020,4561
1/6/2020,4520
1/3/2020,4365
1/2/2020,4352
1/1/2020,4352
12/31/2019,4401
12/30/2019,4396
12/27/2019,4396
12/26/2019,4351
12/24/2019,4307
12/23/2019,4301
12/20/2019,4349
12/19/2019,4330
12/18/2019,4325
12/17/2019,4271
12/16/2019,4248
12/13/2019,4187
12/12/2019,4164
12/11/2019,4200
12/10/2019,4200
12/9/2019,4222
12/6/2019,4181
12/5/2019,4194
12/4/2019,4017
12/3/2019,4014
12/2/2019,3957
11/29/2019,4147
11/28/2019,4147
11/27/2019,4182
11/26/2019,4156
11/25/2019,4151
11/22/2019,4206
11/21/2019,4086
11/20/2019,3965
11/19/2019,4091
11/18/2019,4139
11/15/2019,4090
11/14/2019,4096
11/13/2019,4058
11/12/2019,4062
11/11/2019,4078
11/8/2019,4058
11/7/2019,3994
11/6/2019,4048
11/5/2019,3996
11/4/2019,3983
11/1/2019,3983
10/31/2019,3836
10/30/2019,3909
10/29/2019,3928
10/28/2019,3960
10/25/2019,3989
10/24/2019,3970
10/23/2019,3861
10/22/2019,3861
10/21/2019,3829
10/18/2019,3829
10/17/2019,3851
10/16/2019,3816
10/15/2019,3766
10/14/2019,3806
10/11/2019,3885
10/10/2019,3805
10/9/2019,3740
10/8/2019,3735
10/7/2019,3744
10/4/2019,3743
10/3/2019,3730
10/1/2019,3802
9/30/2019,3822
9/27/2019,3961
9/26/2019,4013
9/25/2019,4059
9/24/2019,4059
9/23/2019,4121
9/20/2019,4135
9/19/2019,4135
9/18/2019,4262
9/17/2019,4262
9/16/2019,4500
9/13/2019,3891
9/12/2019,3995
9/11/2019,4109
9/10/2019,4109
9/9/2019,4141
9/6/2019,4054
9/5/2019,4046
9/4/2019,4055
9/3/2019,3894
9/2/2019,3954
8/30/2019,3954
8/29/2019,4083
8/28/2019,4000
8/27/2019,3945
8/26/2019,3872
8/23/2019,3885
8/22/2019,3969
8/21/2019,3984
8/20/2019,4022
8/19/2019,4010
8/16/2019,3912
8/14/2019,4068
8/13/2019,3874
8/12/2019,3843
8/9/2019,3843
8/8/2019,3722
8/7/2019,3625
8/6/2019,3793
8/5/2019,3848
8/2/2019,3726
8/1/2019,4034
7/31/2019,3991
7/30/2019,3918
7/29/2019,3881
7/26/2019,3865
7/25/2019,3856
7/24/2019,3917
7/23/2019,3917
7/22/2019,3829
7/19/2019,3809
7/18/2019,3907
7/17/2019,3951
7/12/2019,4116
7/11/2019,4141
7/10/2019,3975
7/9/2019,3961
7/8/2019,3954
7/5/2019,3949
7/4/2019,3949
7/3/2019,3881
7/2/2019,4075
7/1/2019,4030
6/28/2019,4114
6/27/2019,4116
6/26/2019,4010
6/25/2019,4023
6/24/2019,3999
6/21/2019,3970
6/20/2019,3745
6/19/2019,3762
6/18/2019,3627
6/17/2019,3653
6/14/2019,3626
6/13/2019,3549
6/12/2019,3698
6/11/2019,3699
6/10/2019,3742
6/7/2019,3646
6/6/2019,3581
6/5/2019,3706
6/4/2019,3697
6/3/2019,3735
5/31/2019,3949
5/30/2019,4110
5/29/2019,4117
5/28/2019,4081
5/27/2019,4081
5/24/2019,4035
5/23/2019,4285
5/22/2019,4392
5/21/2019,4388
5/20/2019,4404
5/17/2019,4416
5/16/2019,4354
5/15/2019,4351
5/14/2019,4289
5/13/2019,4311
5/10/2019,4311
5/9/2019,4324
5/8/2019,4256
5/7/2019,4317
5/6/2019,4290
5/3/2019,4298
5/2/2019,4442
5/1/2019,4463
4/30/2019,4440
4/26/2019,4561
4/25/2019,4606
4/24/2019,4624
4/23/2019,4582
4/22/2019,4443
4/18/2019,4436
4/17/2019,4456
4/16/2019,4389
4/15/2019,4429
4/12/2019,4385
4/11/2019,4468
4/10/2019,4449
4/9/2019,4477
4/8/2019,4365
4/5/2019,4275
4/4/2019,4278
4/3/2019,4326
4/2/2019,4260
4/1/2019,4160
3/29/2019,4092
3/28/2019,4094
3/27/2019,4127
3/26/2019,4058
3/25/2019,4054
3/22/2019,4130
3/21/2019,4147
3/20/2019,4049
3/19/2019,4054
3/18/2019,4050
3/15/2019,4083
3/14/2019,4056
3/13/2019,3958
3/12/2019,3971
3/11/2019,3931
3/8/2019,3968
3/7/2019,3968
3/6/2019,4002
3/5/2019,4016
3/4/2019,3960
3/1/2019,4074
2/28/2019,4052
2/27/2019,3946
